"ObjectId","Lat","Lon","Alt","name","description","Street_Custom","Shared_Support?","Sign_Type","Suppport_Type","Support_Condition","Sign_Condition","Sign_Dimension","Sign_Dimension_Custom","Sign_Face_Direction","Sign_Backing_Material","Sign_Custom_Text","Sign_Mount_Height","Sign_Accessible?","Retro_ID","Barcode","R02_BG","R02_FG","R05_BG","R05_FG","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
458,43.37187218577401,-79.73969157944703,53.187548828125,"WPT 458","b2","0","Yes","notruck","2in metal pole","Very Good","Very Good","Default","","north","al","","0","No","","","0","0","0","0","","","","","","2017-10-24-15-51-39","53.1875","0.8221"
457,43.371884645850514,-79.73968710578811,54.619921875,"WPT 457","b2","0","No","bikeroute","streetlight pole","Very Good","Good","Default","","north","al","","0","No","","","0","0","0","0","","","457","457_2017-10-24 15-50-54.png","/storage/emulated/0/MapIt/Pictures/b2/457/457_2017-10-24 15-50-54.png","2017-10-24-15-50-49","54.6199","2.1411"
456,43.37183397825265,-79.739649428966,52.96318359375,"WPT 456","b2","0","Yes","school40","2in metal pole","Very Good","Good","Default","","north","al","","0","No","","","0","0","0","0","","","","","","2017-10-24-15-50-07","52.9632","0.9858"
455,43.37183889977405,-79.7396491234631,50.90068359375,"WPT 455","b2","0","No","kmtab","u channel","Very Good","Fair","Default","","north","al","","66","Yes","183","","0","0","0","0","","","455","455_2017-10-24 15-48-54.png","/storage/emulated/0/MapIt/Pictures/b2/455/455_2017-10-24 15-48-54.png","2017-10-24-15-48-50","50.9007","0.9437"
454,43.371946362402014,-79.73962702986864,50.957080078125,"WPT 454","b2","0","No","stop","u channel","Very Good","Very Good","Default","","south","al","","0","No","","","0","0","0","0","","","454","454_2017-10-24 15-48-09.png","/storage/emulated/0/MapIt/Pictures/b2/454/454_2017-10-24 15-48-09.png","2017-10-24-15-48-04","50.9571","0.7955"
453,43.37198091863138,-79.73959890312653,49.84892578125,"WPT 453","b2","0","Yes","name","2in metal pole","Very Good","Very Good","Default","","east","al","","0","No","","","0","0","0","0","","","","","","2017-10-24-15-47-36","49.8489","0.788"
452,43.372002031195734,-79.7396201656029,49.39287109375,"WPT 452","b2","0","Yes","name","2in metal pole","Very Good","Very Good","Default","","north","al","","0","No","","","0","0","0","0","","","","","","2017-10-24-15-47-13","49.3929","0.804"
451,43.37197251562702,-79.73960611814618,51.2849609375,"WPT 451","b2","0","Yes","bikeroute","2in metal pole","Very Good","Good","Default","","south","al","","76","Yes","182","","0","0","0","0","","","","","","2017-10-24-15-46-16","51.285","0.7855"
450,43.371983495469976,-79.73960561746753,52.768603515625,"WPT 450","b2","0","No","lrarrowtab","hydro pole","Fair","Fair","Default","","south","al","","66","Yes","181","","0","0","0","0","","","450","450_2017-10-24 15-44-46.png","/storage/emulated/0/MapIt/Pictures/b2/450/450_2017-10-24 15-44-46.png","2017-10-24-15-44-44","52.7686","1.0941"
449,43.37212554403595,-79.73953816494031,53.469775390625,"WPT 449","b2","0","Yes","warnbump","2in metal pole","Very Good","Very Good","Default","","east","al","","84","Yes","180","","0","0","0","0","","","","","","2017-10-24-15-43-31","53.4698","0.6109"
