"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Sign Names String","Support String","Sign Conditions String","Signs Sizes String","Signs Facing String","Signs Heights String","Signs RetroIDs String","Signs Backing String","Sign text","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
1267,43.36721690426839,-79.76150157452685,58.196826171875,"WPT 1267","b3","galway","yieldtab yield","uv","gv","","ww","85 91","706 707","al","","","2017-10-27-15-40-18","1267","1267_2017-10-27 15-39-29.png","/storage/emulated/0/MapIt/Pictures/b3/1267/1267_2017-10-27 15-39-29.png","2017-10-27-15-39-24","58.1968","0.541"
1266,43.36663326156486,-79.76072889011266,56.7966796875,"WPT 1266","b3","Dublin and galway","yieldtab yield n n","2f","l l f f","","wwnw","70 79","704 705","al","","","2017-10-27-15-37-22","1266","1266_2017-10-27 15-36-17.png","/storage/emulated/0/MapIt/Pictures/b3/1266/1266_2017-10-27 15-36-17.png","2017-10-27-15-36-11","56.7967","0.5996"
1265,43.36755026424635,-79.7577403677351,58.06083984375,"WPT 1265","b3","0","n n","lv","","","nw","","","al","","","","1265","1265_2017-10-27 15-33-16.png","/storage/emulated/0/MapIt/Pictures/b3/1265/1265_2017-10-27 15-33-16.png","2017-10-27-15-33-10","58.0608","0.9972"
1264,43.36750574663347,-79.75759327301967,58.31572265625,"WPT 1264","b3","0","nostopr","uv","f","","n","","","al","","","","1264","1264_2017-10-27 15-32-52.png","/storage/emulated/0/MapIt/Pictures/b3/1264/1264_2017-10-27 15-32-52.png","2017-10-27-15-32-47","58.3157","0.7896"
1263,43.36759127442474,-79.75753400938083,58.977099609375,"WPT 1263","b3","0","nostopl","uv","l","","s","","","al","","","","1263","1263_2017-10-27 15-32-27.png","/storage/emulated/0/MapIt/Pictures/b3/1263/1263_2017-10-27 15-32-27.png","2017-10-27-15-32-22","58.9771","0.6426"
1262,43.36766256501414,-79.75764139755483,58.579638671875,"WPT 1262","b3","longmoor and sparling","s","uv","","","s","85","703","al","","","","1262","1262_2017-10-27 15-31-19.png","/storage/emulated/0/MapIt/Pictures/b3/1262/1262_2017-10-27 15-31-19.png","2017-10-27-15-31-14","58.5796","0.7179"
1261,43.36803469776078,-79.75728022100338,59.09892578125,"WPT 1261","b3","0","noparklr","uv","g","","w","","","al","","","","1261","1261_2017-10-27 15-30-33.png","/storage/emulated/0/MapIt/Pictures/b3/1261/1261_2017-10-27 15-30-33.png","2017-10-27-15-30-28","59.0989","1.2807"
1260,43.368177708179246,-79.75717093482126,58.212939453125,"WPT 1260","b3","0","lightahead","hv","f","","w","88","702","al","","","","1260","1260_2017-10-27 15-29-13.png","/storage/emulated/0/MapIt/Pictures/b3/1260/1260_2017-10-27 15-29-13.png","2017-10-27-15-29-08","58.2129","0.5705"
1259,43.36823300534979,-79.7572866051687,56.958544921875,"WPT 1259","b3","0","nostoplr","uv","","","e","","","al","","","","1259","1259_2017-10-27 15-28-45.png","/storage/emulated/0/MapIt/Pictures/b3/1259/1259_2017-10-27 15-28-45.png","2017-10-27-15-28-40","56.9585","0.6132"
1258,43.36796615961066,-79.75762506374667,58.82451171875,"WPT 1258","b3","0","nostoplr","lv","","","e","","","al","","","","1258","1258_2017-10-27 15-28-02.png","/storage/emulated/0/MapIt/Pictures/b3/1258/1258_2017-10-27 15-28-02.png","2017-10-27-15-27-57","58.8245","0.6968"
1257,43.367667257033645,-79.7579334111706,58.512744140625,"WPT 1257","b3","0","nostoplr","lv","","","e","","","al","","","","1257","1257_2017-10-27 15-27-26.png","/storage/emulated/0/MapIt/Pictures/b3/1257/1257_2017-10-27 15-27-26.png","2017-10-27-15-27-21","58.5127","0.8431"
1256,43.36735741529992,-79.7582767462336,59.94755859375,"WPT 1256","b3","longmoor","nostoplr","lv","","","e","","","al","","","","1256","1256_2017-10-27 15-26-47.png","/storage/emulated/0/MapIt/Pictures/b3/1256/1256_2017-10-27 15-26-47.png","2017-10-27-15-26-41","59.9476","0.5884"
1255,43.3709527559422,-79.76016709176838,60.95439453125,"WPT 1255","b3","0","24hourpark","uv","","","s","78","701","al","","","","1255","1255_2017-10-27 15-23-36.png","/storage/emulated/0/MapIt/Pictures/b3/1255/1255_2017-10-27 15-23-36.png","2017-10-27-15-23-31","60.9544","0.8627"
1254,43.37104872904729,-79.7602967419316,60.8328125,"WPT 1254","b3","Bennet and turner","s n n","2v","","","snw","82","700","al","","","","1254","1254_2017-10-27 15-22-22.png","/storage/emulated/0/MapIt/Pictures/b3/1254/1254_2017-10-27 15-22-22.png","2017-10-27-15-22-16","60.8328","0.7945"
