"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Sign Names String","Support String","Sign Conditions String","Signs Sizes String","Signs Facing String","Signs Heights String","Signs RetroIDs String","Signs Backing String","Sign text","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
1802,43.360562271807794,-79.75392256383566,51.291064453125,"WPT 1802","b3","0","noparkl","uv","","","s","","","al","","","","1802","1802_2017-11-01 17-21-25.png","/storage/emulated/0/MapIt/Pictures/b3/1802/1802_2017-11-01 17-21-25.png","2017-11-01-17-21-22","51.2911","0.7677"
1801,43.36058767319628,-79.75395325544741,51.05205078125,"WPT 1801","b3","0","warn30 bump bump","uv","","","ssn","60 83 83","1123 1124 1125","al","","","","1801","1801_2017-11-01 17-19-32.png","/storage/emulated/0/MapIt/Pictures/b3/1801/1801_2017-11-01 17-19-32.png","2017-11-01-17-19-29","51.0521","0.6411"
1800,43.36062467185275,-79.753983546565,51.522021484375,"WPT 1800","b3","0","noparkr","hv","","","s","","","al","","","","1800","1800_2017-11-01 17-19-00.png","/storage/emulated/0/MapIt/Pictures/b3/1800/1800_2017-11-01 17-19-00.png","2017-11-01-17-18-57","51.522","0.6393"
1799,43.36063689827279,-79.75417531903986,51.435107421875,"WPT 1799","b3","0","noparklr","","","","n","","","al","","","","1799","1799_2017-11-01 17-18-28.png","/storage/emulated/0/MapIt/Pictures/b3/1799/1799_2017-11-01 17-18-28.png","2017-11-01-17-18-25","51.4351","0.7875"
1798,43.36052571047367,-79.75405353673341,52.409716796875,"WPT 1798","b3","0","warn30 bump bump","uv","","","nns","65 83 83","1120 1121 1122","al","","","","1798","1798_2017-11-01 17-16-39.png","/storage/emulated/0/MapIt/Pictures/b3/1798/1798_2017-11-01 17-16-39.png","2017-11-01-17-16-37","52.4097","0.9932"
1797,43.36047667482944,-79.75400022425492,52.067431640625,"WPT 1797","b3","Henderson","noparkr","uv","","","n","","","al","","","","1797","1797_2017-11-01 17-16-11.png","/storage/emulated/0/MapIt/Pictures/b3/1797/1797_2017-11-01 17-16-11.png","2017-11-01-17-16-08","52.0674","0.7145"
1796,43.36139001150423,-79.75506336672333,53.796923828125,"WPT 1796","b3","0","n n","hv","","","nw","","","al","","","","1796","1796_2017-11-01 17-14-41.png","/storage/emulated/0/MapIt/Pictures/b3/1796/1796_2017-11-01 17-14-41.png","2017-11-01-17-14-37","53.7969","0.7182"
1795,43.36132793370871,-79.7551174933069,51.695361328125,"WPT 1795","b3","0","s40","uv","","","n","78","1119","al","","","","1795","1795_2017-11-01 17-13-16.png","/storage/emulated/0/MapIt/Pictures/b3/1795/1795_2017-11-01 17-13-16.png","2017-11-01-17-13-13","51.6954","0.6979"
1794,43.361332944162314,-79.75522298494434,53.5388671875,"WPT 1794","b3","0","s","2v","","","s","88","1118","al","","","2017-11-01-17-15-15","1794","1794_2017-11-01 17-11-42.png","/storage/emulated/0/MapIt/Pictures/b3/1794/1794_2017-11-01 17-11-42.png","2017-11-01-17-11-38","53.5389","1.2358"
1793,43.36148339297415,-79.7553076872191,51.85283203125,"WPT 1793","b3","0","kidplay","uv","","","n","71","1117","al","","","","1793","1793_2017-11-01 17-10-07.png","/storage/emulated/0/MapIt/Pictures/b3/1793/1793_2017-11-01 17-10-07.png","2017-11-01-17-10-03","51.8528","1.4048"
1792,43.36163027175371,-79.75532147406193,57.147021484375,"WPT 1792","b3","Henderson and adrian","s40","hv","","","s","","","al","","","2017-11-01-17-15-21","1792","1792_2017-11-01 17-09-23.png","/storage/emulated/0/MapIt/Pictures/b3/1792/1792_2017-11-01 17-09-23.png","2017-11-01-17-09-20","57.147","0.8598"
1791,43.36256979734844,-79.75663552356491,53.968310546875,"WPT 1791","b3","0","noparkr","hv","","","s","","","al","","","","1791","1791_2017-11-01 17-08-07.png","/storage/emulated/0/MapIt/Pictures/b3/1791/1791_2017-11-01 17-08-07.png","2017-11-01-17-08-04","53.9683","0.5118"
