Msrmt Number,0.2 Alpha Legend,0.5 Alpha Legend,0.2 Alpha Bkgrnd,0.5 Alpha Bkgrnd,Date/Time,Latitude,Longitude,Position Accuracy (m),Barcode,Standard Comments,User Comment
59,  495,  256,  158, 96.2, 10/23/2017 19:26:43, 43.375383N, 79.741282W, 11, ,, 
60,  605,  288,  158, 85.9, 10/23/2017 19:30:43, 43.375148N, 79.741377W, 11, ,, 
61,  615,  335,  182, 94.0, 10/23/2017 19:35:30, 43.374610N, 79.740477W, 11, ,, 
62,  553,  277,  155, 88.9, 10/23/2017 19:38:10, 43.374617N, 79.740472W, 11, ,, 
63,  1.6,  0.5,  162,  128, 10/23/2017 19:39:47, 43.374555N, 79.740618W, 11, ,, 
64,  511,  321,  144, 85.1, 10/23/2017 19:46:45, 43.373740N, 79.739070W, 11, ,, 
65,  473,  235,  144, 81.6, 10/23/2017 19:50:13, 43.373755N, 79.739115W, 11, ,, 
66,  1.6,  1.1,  333,  255, 10/23/2017 19:52:29, 43.373787N, 79.739277W, 11, ,, 
67, 19.9,  9.7, 86.0, 42.7, 10/23/2017 19:53:32, 43.373908N, 79.739167W, 11, ,, 
68,  432,  264,  130, 89.2, 10/23/2017 19:56:35, 43.373898N, 79.738955W, 11, ,, 
69, 19.9,  8.6, 87.3, 45.3, 10/23/2017 20:02:05, 43.374027N, 79.739308W, 11, ,, 
70,  655,  331,  157, 78.1, 10/23/2017 20:15:35, 43.374385N, 79.742750W, 11, ,, 
71,  529,  276,  185, 96.7, 10/23/2017 20:16:17, 43.374425N, 79.742840W, 11, ,, 
72,  588,  324,  139, 89.2, 10/23/2017 20:25:53, 43.372037N, 79.742283W, 11, ,, 
73, 81.5, 37.9, 24.0, 10.8, 10/23/2017 20:30:13, 43.371985N, 79.742493W, 11, ,, 
74,  599,  312,  0.8,  1.1, 10/23/2017 20:31:36, 43.371985N, 79.742497W, 11, ,, 
75,  1.6,  0.5,  104, 83.2, 10/23/2017 20:32:19, 43.372070N, 79.742410W, 11, ,, 
76,  572,  346,  120, 74.0, 10/23/2017 20:36:55, 43.371687N, 79.741483W, 11, ,, 
77, 20.8, 10.3, 75.4, 30.7, 10/23/2017 20:40:25, 43.371668N, 79.741523W, 11, ,, 
78,  157,  120,  387,  295, 10/23/2017 20:45:06, 43.372562N, 79.740612W, 11, ,, 
79,  637,  340,  150, 88.1, 10/23/2017 20:55:15, 43.375953N, 79.742832W, 11, ,, 
80,  549,  298,  154, 93.5, 10/23/2017 21:02:59, 43.375543N, 79.741805W, 11, ,, 
81,  589,  313,  167, 86.9, 10/24/2017 14:17:15, 43.374207N, 79.737073W, 11, ,, 
82,  0.8,  0.5, 78.5, 66.5, 10/24/2017 14:17:36, 43.374250N, 79.737177W, 11, B03835,, 
83,  1.6,  1.1, 92.4, 76.9, 10/24/2017 14:26:39, 43.374287N, 79.732182W, 11, B03836,, 
84,  122, 87.5,  591,  255, 10/24/2017 14:32:11, 43.374308N, 79.733143W, 11, B03837,, 
85,  447,  263,  179, 85.4, 10/24/2017 14:33:20, 43.374307N, 79.733167W, 11, B03838,, 
86, 50.6, 20.9,  267, 99.7, 10/24/2017 14:41:27, 43.373590N, 79.733928W, 11, B03839,, 
87, 50.3, 21.3,  250, 95.2, 10/24/2017 14:44:06, 43.373142N, 79.734580W, 11, B03840,, 
88,  0.8,  0.5, 68.1, 31.8, 10/24/2017 14:46:38, 43.372825N, 79.734975W, 11, B03841,, 
89, 47.8, 19.6,  275, 97.9, 10/24/2017 14:55:45, 43.373175N, 79.733257W, 11, B03843,, 
90,  550,  331,  159, 94.1, 10/24/2017 15:06:57, 43.371132N, 79.732587W, 11, B03844,, 
91,  594,  321,  163, 92.3, 10/24/2017 15:07:26, 43.371112N, 79.732577W, 11, B03845,, 
92,  0.8,  0.0, 80.6, 70.6, 10/24/2017 15:11:19, 43.371062N, 79.732367W, 11, B03846,, 
93,  550,  272,  161, 82.2, 10/24/2017 15:18:10, 43.373550N, 79.731500W, 11, B03847,, 
94, 57.5, 24.5,  274,  107, 10/24/2017 15:22:12, 43.370692N, 79.731745W, 11, B03848,, 
95,  508,  346,  163, 89.6, 10/24/2017 15:23:45, 43.370662N, 79.731697W, 11, B03849,, 
96, 90.9, 63.7,  513,  266, 10/24/2017 15:27:48, 43.372405N, 79.729847W, 11, B03850,, 
97,  641,  286,  170, 89.3, 10/24/2017 15:37:03, 43.371403N, 79.729178W, 11, B03853,, 
98,  472,  321,  142, 88.8, 10/24/2017 15:37:46, 43.371403N, 79.729200W, 11, B03853,, 
99,  461,  239,  138, 86.7, 10/24/2017 15:45:36, 43.371982N, 79.729348W, 11, B03854,, 
100,  142, 68.3,  525,  238, 10/24/2017 15:50:33, 43.369540N, 79.730382W, 11, B03855,, 
101,  532,  310,  127, 69.1, 10/24/2017 15:51:16, 43.369538N, 79.730382W, 11, B03856,, 
102,  611,  303,  166, 86.2, 10/24/2017 15:57:26, 43.370677N, 79.731752W, 11, B03857,, 
103,  633,  336,  118, 89.6, 10/24/2017 16:02:00, 43.370540N, 79.733287W, 11, B03858,, 
104,  549,  298,  131, 72.1, 10/24/2017 16:04:26, 43.370582N, 79.733397W, 11, B03859,, 
105,  0.8,  0.5,  680,  305, 10/24/2017 16:06:17, 43.370278N, 79.733047W, 11, B03860,, 
106,  0.8,  0.5,  599,  264, 10/24/2017 16:10:51, 43.373740N, 79.738968W, 11, B03861,, 
107,  139, 78.9,  541,  286, 10/24/2017 16:51:27, 43.372082N, 79.735453W, 11, B03862,, 
108,  154, 76.3,  603,  281, 10/24/2017 16:52:30, 43.372113N, 79.735535W, 11, B03863,, 
109,  663,  281,  168, 99.2, 10/24/2017 16:54:25, 43.372177N, 79.735642W, 11, B03864,, 
110,  165, 84.5,  611,  334, 10/24/2017 16:55:38, 43.372175N, 79.735515W, 11, B03865,, 
111,  149, 86.1,  616,  347, 10/24/2017 16:57:05, 43.372228N, 79.735548W, 11, B03866,, 
112,  510,  323,  123, 82.7, 10/24/2017 16:58:33, 43.372272N, 79.735567W, 11, B03867,, 
113, , , , , 10/24/2017 16:58:34, 43.372270N, 79.735563W, 11, ,, 
114,  132, 93.3,  648,  316, 10/24/2017 16:59:27, 43.372242N, 79.735528W, 11, B03868,, 
115,  186,  102,  627,  352, 10/24/2017 17:00:34, 43.372255N, 79.735525W, 11, B03869,, 
116,  592,  310,  172, 94.4, 10/24/2017 17:02:19, 43.372287N, 79.735507W, 11, B03870,, 
117,  145, 93.9,  547,  306, 10/24/2017 17:03:13, 43.372285N, 79.735500W, 11, B03871,, 
118,  130, 97.1,  488,  315, 10/24/2017 17:04:11, 43.372285N, 79.735498W, 11, B03872,, 
119,  544,  277,  148, 85.4, 10/24/2017 17:04:46, 43.372297N, 79.735493W, 11, B03873,, 
120,  0.8,  0.5,  756,  327, 10/24/2017 17:08:14, 43.372198N, 79.735337W, 11, B03874,, 
121,  0.8,  0.5, 59.3, 28.0, 10/24/2017 17:12:30, 43.372127N, 79.735337W, 11, B03875,, 
122,  143, 79.7,  473,  302, 10/24/2017 17:14:27, 43.372163N, 79.735393W, 11, B03876,, 
123, 84.5, 35.3,  248, 97.6, 10/24/2017 17:15:56, 43.372155N, 79.735407W, 11, B03877,, 
